mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
7	6	35	35	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		6	66	F#4	4	104
7	6	35	35	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		5	71	B4	4	101
7	6	36	36	1.0	1	1	3/2	3	1	1/4	1/4	1		8	56	G#3	3	110
7	6	36	36	1.0	1	1	3/2	4	1	1/4	1/4	1		8	56	G#3	3	116
7	6	36	36	2.0	1	1	3/2	2	1	1/2	1/2	1		8	68	G#4	4	105
7	6	36	36	2.0	1	1	3/2	1	1	1/2	1/2	1	1	4	76	E5	5	102
7	6	37	37	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		4	52	E3	3	111
7	6	37	37	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		4	52	E3	3	117
8	7	38	38	1.0	0	0	3/2	3	1	1/4	1/4	1		3	57	A3	3	125
8	7	38	38	1.0	0	0	3/2	4	1	1/4	1/4	1		3	57	A3	3	129
8	7	38	38	1.0	0	0	3/2	1	1	1/4	1/4	1	-1	4	76	E5	5	118
8	7	38	38	2.0	0	0	3/2	2	1	1/2	1/2	1		4	76	E5	5	122
8	7	39	39	1.0	1/4	1/4	3/2	3	1	1/4	1/4	1		6	54	F#3	3	126
8	7	39	39	1.0	1/4	1/4	3/2	4	1	1/4	1/4	1		6	54	F#3	3	130
8	7	39	39	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		6	78	F#5	5	119
8	7	40	40	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		5	59	B3	3	127
8	7	40	40	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		5	59	B3	3	131
8	7	40	40	3.0	1/2	1/2	3/2	2	1	3/4	1/2	3/2		4	76	E5	5	123
8	7	40	40	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		6	78	F#5	5	120
8	7	42	42	2.0	1	1	3/2	3	1	1/2	1/2	1		5	47	B2	2	128
